TextTranslate,Year,Full-time Enrolments to Third Level Courses (Number),Part-time Enrolments to Third Level Courses (Number)
"National University of Ireland, Maynooth"," ""2009"""," ""6100"""," ""1176"""
Dublin City University," ""2009"""," ""7618"""," ""1965"""
University of Limerick," ""2009"""," ""9345"""," ""1161"""
"St. Patrick's Teacher Training College, Drumcondra, Dublin"," ""2009"""," ""2245"""," ""526"""
"Mary Immaculate College of Education, Limerick"," ""2009"""," ""2909"""," ""113"""
Institutes of Technology/Other Technology Colleges," ""2009"""," ""None"""," ""None"""
"Mater Dei Institute, Clonliffe Road, Dublin"," ""2009"""," ""366"""," ""302"""
"National College of Art & Design, Dublin"," ""2009"""," ""865"""," ""179"""
Dublin Institute of Technology," ""2009"""," ""10409"""," ""3586"""
Athlone Institute of Technology," ""2009"""," ""3030"""," ""1263"""
"Institute of Technology, Carlow"," ""2009"""," ""2997"""," ""1327"""
Cork Institute of Technology," ""2009"""," ""6461"""," ""1896"""
Dundalk Institute of Technology," ""2009"""," ""3732"""," ""447"""
Galway - Mayo Institute of Technology," ""2009"""," ""4820"""," ""957"""
Letterkenny Institute of Technology," ""2009"""," ""2286"""," ""400"""
Limerick Institute of Technology," ""2009"""," ""3673"""," ""318"""
"Institute of Technology, Sligo"," ""2009"""," ""3438"""," ""335"""
"Institute of Technology, Tallaght"," ""2009"""," ""2053"""," ""1492"""
"Institute of Technology, Tralee"," ""2009"""," ""2000"""," ""405"""
Waterford Institute of Technology," ""2009"""," ""6270"""," ""1602"""
"Dun Laoghaire Institute of Art, Design and Technology"," ""2009"""," ""1724"""," ""160"""
"Institute of Technology, Blanchardstown"," ""2009"""," ""1239"""," ""452"""
Tipperary Institute," ""2009"""," ""332"""," ""385"""
"Tourism College, Killybegs, Co. Donegal"," ""2009"""," ""None"""," ""None"""
Other colleges," ""2009"""," ""None"""," ""None"""
"Colaiste Mhuire, Marino, Dublin"," ""2009"""," ""522"""," ""None"""
"C.O.I. College of Education, Rathmines, Dublin"," ""2009"""," ""97"""," ""None"""
"Froebel College, Blackrock, Co. Dublin"," ""2009"""," ""339"""," ""8"""
"St. Angela's College, Lough Gill, Co. Sligo"," ""2009"""," ""495"""," ""407"""
"St. Catherine's College, Sion Hill, Co. Dublin"," ""2009"""," ""None"""," ""None"""
National College of Ireland," ""2009"""," ""1141"""," ""1745"""
"Pontifical College, Maynooth, Co. Kildare"," ""2009"""," ""327"""," ""19"""
"Milltown Institute, Ranelagh, Dublin"," ""2009"""," ""None"""," ""None"""
Aided university sector," ""2009"""," ""82298"""," ""14703"""
Aided technology sector," ""2009"""," ""54464"""," ""15025"""
Teacher education colleges," ""2009"""," ""6973"""," ""1356"""
Other third level education institutions aided by DES," ""2009"""," ""2333"""," ""1943"""
All colleges," ""2010"""," ""156973"""," ""32806"""
Higher Education Authority," ""2010"""," ""None"""," ""None"""
"National University of Ireland, Cork"," ""2010"""," ""15780"""," ""1226"""
"National University of Ireland, Dublin"," ""2010"""," ""19358"""," ""4297"""
"National University of Ireland, Galway"," ""2010"""," ""13469"""," ""2618"""
"Trinity College, Dublin"," ""2010"""," ""14390"""," ""1783"""
"National University of Ireland, Maynooth"," ""2010"""," ""6647"""," ""1229"""
Dublin City University," ""2010"""," ""8158"""," ""1837"""
University of Limerick," ""2010"""," ""9821"""," ""946"""
"St. Patrick's Teacher Training College, Drumcondra, Dublin"," ""2010"""," ""2064"""," ""606"""
"Mary Immaculate College of Education, Limerick"," ""2010"""," ""2864"""," ""150"""
Institutes of Technology/Other Technology Colleges," ""2010"""," ""None"""," ""None"""
"Mater Dei Institute, Clonliffe Road, Dublin"," ""2010"""," ""413"""," ""304"""
"National College of Art & Design, Dublin"," ""2010"""," ""932"""," ""242"""
Dublin Institute of Technology," ""2010"""," ""11301"""," ""4020"""
Athlone Institute of Technology," ""2010"""," ""3364"""," ""1207"""
"Institute of Technology, Carlow"," ""2010"""," ""3120"""," ""1162"""
Cork Institute of Technology," ""2010"""," ""7313"""," ""1836"""
Dundalk Institute of Technology," ""2010"""," ""4148"""," ""380"""
Galway - Mayo Institute of Technology," ""2010"""," ""5169"""," ""1195"""
Letterkenny Institute of Technology," ""2010"""," ""2549"""," ""437"""
Limerick Institute of Technology," ""2010"""," ""4042"""," ""767"""
"Institute of Technology, Sligo"," ""2010"""," ""3754"""," ""304"""
"Institute of Technology, Tallaght"," ""2010"""," ""2420"""," ""1485"""
"Institute of Technology, Tralee"," ""2010"""," ""2262"""," ""310"""
Waterford Institute of Technology," ""2010"""," ""6376"""," ""1367"""
"Dun Laoghaire Institute of Art, Design and Technology"," ""2010"""," ""1973"""," ""209"""
"Institute of Technology, Blanchardstown"," ""2010"""," ""1560"""," ""542"""
Tipperary Institute," ""2010"""," ""481"""," ""229"""
"Tourism College, Killybegs, Co. Donegal"," ""2010"""," ""None"""," ""None"""
Other colleges," ""2010"""," ""None"""," ""None"""
"Colaiste Mhuire, Marino, Dublin"," ""2010"""," ""483"""," ""None"""
"C.O.I. College of Education, Rathmines, Dublin"," ""2010"""," ""149"""," ""52"""
"Froebel College, Blackrock, Co. Dublin"," ""2010"""," ""311"""," ""23"""
"St. Angela's College, Lough Gill, Co. Sligo"," ""2010"""," ""448"""," ""406"""
"St. Catherine's College, Sion Hill, Co. Dublin"," ""2010"""," ""None"""," ""None"""
National College of Ireland," ""2010"""," ""1322"""," ""1476"""
"Pontifical College, Maynooth, Co. Kildare"," ""2010"""," ""344"""," ""20"""
"Milltown Institute, Ranelagh, Dublin"," ""2010"""," ""188"""," ""141"""
Aided university sector," ""2010"""," ""87623"""," ""13936"""
Aided technology sector," ""2010"""," ""59832"""," ""15450"""
Teacher education colleges," ""2010"""," ""6732"""," ""1541"""
Other third level education institutions aided by DES," ""2010"""," ""2786"""," ""1879"""
All colleges," ""2011"""," ""161647"""," ""32622"""
Higher Education Authority," ""2011"""," ""None"""," ""None"""
"National University of Ireland, Cork"," ""2011"""," ""15979"""," ""1238"""
"National University of Ireland, Dublin"," ""2011"""," ""19454"""," ""4146"""
"National University of Ireland, Galway"," ""2011"""," ""13733"""," ""2746"""
"Trinity College, Dublin"," ""2011"""," ""14562"""," ""1706"""
"National University of Ireland, Maynooth"," ""2011"""," ""7140"""," ""1182"""
Dublin City University," ""2011"""," ""8211"""," ""1988"""
University of Limerick," ""2011"""," ""10194"""," ""909"""
"St. Patrick's Teacher Training College, Drumcondra, Dublin"," ""2011"""," ""1981"""," ""613"""
"Mary Immaculate College of Education, Limerick"," ""2011"""," ""2845"""," ""135"""
Institutes of Technology/Other Technology Colleges," ""2011"""," ""None"""," ""None"""
"Mater Dei Institute, Clonliffe Road, Dublin"," ""2011"""," ""442"""," ""284"""
"National College of Art & Design, Dublin"," ""2011"""," ""918"""," ""227"""
Dublin Institute of Technology," ""2011"""," ""11733"""," ""3671"""
Athlone Institute of Technology," ""2011"""," ""3695"""," ""1190"""
"Institute of Technology, Carlow"," ""2011"""," ""3366"""," ""1503"""
Cork Institute of Technology," ""2011"""," ""7236"""," ""1953"""
Dundalk Institute of Technology," ""2011"""," ""4353"""," ""307"""
Galway - Mayo Institute of Technology," ""2011"""," ""5517"""," ""973"""
Letterkenny Institute of Technology," ""2011"""," ""2568"""," ""401"""
Limerick Institute of Technology," ""2011"""," ""4125"""," ""859"""
"Institute of Technology, Sligo"," ""2011"""," ""3855"""," ""487"""
"Institute of Technology, Tallaght"," ""2011"""," ""2809"""," ""1329"""
"Institute of Technology, Tralee"," ""2011"""," ""2399"""," ""312"""
Waterford Institute of Technology," ""2011"""," ""6580"""," ""1494"""
"Dun Laoghaire Institute of Art, Design and Technology"," ""2011"""," ""2057"""," ""148"""
"Institute of Technology, Blanchardstown"," ""2011"""," ""1921"""," ""524"""
Tipperary Institute," ""2011"""," ""671"""," ""344"""
"Tourism College, Killybegs, Co. Donegal"," ""2011"""," ""None"""," ""None"""
Other colleges," ""2011"""," ""None"""," ""None"""
"Colaiste Mhuire, Marino, Dublin"," ""2011"""," ""550"""," ""None"""
"C.O.I. College of Education, Rathmines, Dublin"," ""2011"""," ""176"""," ""None"""
"Froebel College, Blackrock, Co. Dublin"," ""2011"""," ""261"""," ""24"""
"St. Angela's College, Lough Gill, Co. Sligo"," ""2011"""," ""436"""," ""428"""
"St. Catherine's College, Sion Hill, Co. Dublin"," ""2011"""," ""None"""," ""None"""
National College of Ireland," ""2011"""," ""1459"""," ""1342"""
"Pontifical College, Maynooth, Co. Kildare"," ""2011"""," ""337"""," ""39"""
"Milltown Institute, Ranelagh, Dublin"," ""2011"""," ""84"""," ""120"""
Aided university sector," ""2011"""," ""89273"""," ""13915"""
Aided technology sector," ""2011"""," ""62885"""," ""15495"""
Teacher education colleges," ""2011"""," ""6691"""," ""1484"""
Other third level education institutions aided by DES," ""2011"""," ""2798"""," ""1728"""
All colleges," ""2012"""," ""163068"""," ""33778"""
Higher Education Authority," ""2012"""," ""None"""," ""None"""
"National University of Ireland, Cork"," ""2012"""," ""16006"""," ""2082"""
"National University of Ireland, Dublin"," ""2012"""," ""19536"""," ""3963"""
"National University of Ireland, Galway"," ""2012"""," ""13873"""," ""2659"""
"Trinity College, Dublin"," ""2012"""," ""14482"""," ""1895"""
"National University of Ireland, Maynooth"," ""2012"""," ""7412"""," ""2345"""
Dublin City University," ""2012"""," ""8352"""," ""1959"""
University of Limerick," ""2012"""," ""10267"""," ""864"""
"St. Patrick's Teacher Training College, Drumcondra, Dublin"," ""2012"""," ""1969"""," ""566"""
"Mary Immaculate College of Education, Limerick"," ""2012"""," ""2850"""," ""110"""
Institutes of Technology/Other Technology Colleges," ""2012"""," ""None"""," ""None"""
"Mater Dei Institute, Clonliffe Road, Dublin"," ""2012"""," ""463"""," ""192"""
"National College of Art & Design, Dublin"," ""2012"""," ""940"""," ""222"""
Dublin Institute of Technology," ""2012"""," ""12329"""," ""3834"""
Athlone Institute of Technology," ""2012"""," ""3611"""," ""1015"""
"Institute of Technology, Carlow"," ""2012"""," ""3525"""," ""1516"""
Cork Institute of Technology," ""2012"""," ""7385"""," ""2106"""
Dundalk Institute of Technology," ""2012"""," ""4210"""," ""295"""
Galway - Mayo Institute of Technology," ""2012"""," ""5468"""," ""915"""
Letterkenny Institute of Technology," ""2012"""," ""2478"""," ""309"""
Limerick Institute of Technology," ""2012"""," ""4724"""," ""871"""
"Institute of Technology, Sligo"," ""2012"""," ""3783"""," ""572"""
"Institute of Technology, Tallaght"," ""2012"""," ""2919"""," ""1119"""
"Institute of Technology, Tralee"," ""2012"""," ""2534"""," ""345"""
Waterford Institute of Technology," ""2012"""," ""6620"""," ""1323"""
"Dun Laoghaire Institute of Art, Design and Technology"," ""2012"""," ""2104"""," ""159"""
"Institute of Technology, Blanchardstown"," ""2012"""," ""2184"""," ""671"""
Tipperary Institute," ""2012"""," ""None"""," ""None"""
"Tourism College, Killybegs, Co. Donegal"," ""2012"""," ""None"""," ""None"""
Other colleges," ""2012"""," ""None"""," ""None"""
"Colaiste Mhuire, Marino, Dublin"," ""2012"""," ""579"""," ""None"""
"C.O.I. College of Education, Rathmines, Dublin"," ""2012"""," ""None"""," ""None"""
"Froebel College, Blackrock, Co. Dublin"," ""2012"""," ""126"""," ""None"""
"St. Angela's College, Lough Gill, Co. Sligo"," ""2012"""," ""441"""," ""372"""
"St. Catherine's College, Sion Hill, Co. Dublin"," ""2012"""," ""None"""," ""None"""
National College of Ireland," ""2012"""," ""1539"""," ""1250"""
"Pontifical College, Maynooth, Co. Kildare"," ""2012"""," ""329"""," ""249"""
"Milltown Institute, Ranelagh, Dublin"," ""2012"""," ""30"""," ""None"""
Aided university sector," ""2012"""," ""89928"""," ""15767"""
Aided technology sector," ""2012"""," ""63874"""," ""15050"""
Teacher education colleges," ""2012"""," ""6428"""," ""1240"""
Other third level education institutions aided by DES," ""2012"""," ""2838"""," ""1721"""
All colleges," ""2013"""," ""164863"""," ""35778"""
Higher Education Authority," ""2013"""," ""None"""," ""None"""
"National University of Ireland, Cork"," ""2013"""," ""15906"""," ""2614"""
"National University of Ireland, Dublin"," ""2013"""," ""20054"""," ""3877"""
"National University of Ireland, Galway"," ""2013"""," ""13139"""," ""2788"""
"Trinity College, Dublin"," ""2013"""," ""14123"""," ""1735"""
"National University of Ireland, Maynooth"," ""2013"""," ""7582"""," ""1924"""
Dublin City University," ""2013"""," ""8940"""," ""2727"""
University of Limerick," ""2013"""," ""10597"""," ""1169"""
"St. Patrick's Teacher Training College, Drumcondra, Dublin"," ""2013"""," ""1970"""," ""431"""
"Mary Immaculate College of Education, Limerick"," ""2013"""," ""2888"""," ""117"""
Institutes of Technology/Other Technology Colleges," ""2013"""," ""None"""," ""None"""
"Mater Dei Institute, Clonliffe Road, Dublin"," ""2013"""," ""430"""," ""203"""
"National College of Art & Design, Dublin"," ""2013"""," ""914"""," ""241"""
Dublin Institute of Technology," ""2013"""," ""12728"""," ""3963"""
Athlone Institute of Technology," ""2013"""," ""3748"""," ""1020"""
"Institute of Technology, Carlow"," ""2013"""," ""3688"""," ""1681"""
Cork Institute of Technology," ""2013"""," ""7326"""," ""2264"""
Dundalk Institute of Technology," ""2013"""," ""4178"""," ""440"""
Galway - Mayo Institute of Technology," ""2013"""," ""5024"""," ""1032"""
Letterkenny Institute of Technology," ""2013"""," ""2634"""," ""512"""
Limerick Institute of Technology," ""2013"""," ""4936"""," ""735"""
"Institute of Technology, Sligo"," ""2013"""," ""3804"""," ""327"""
"Institute of Technology, Tallaght"," ""2013"""," ""2977"""," ""1370"""
"Institute of Technology, Tralee"," ""2013"""," ""2577"""," ""316"""
Waterford Institute of Technology," ""2013"""," ""6837"""," ""1403"""
"Dun Laoghaire Institute of Art, Design and Technology"," ""2013"""," ""2143"""," ""118"""
"Institute of Technology, Blanchardstown"," ""2013"""," ""2439"""," ""685"""
Tipperary Institute," ""2013"""," ""None"""," ""None"""
"Tourism College, Killybegs, Co. Donegal"," ""2013"""," ""None"""," ""None"""
Other colleges," ""2013"""," ""None"""," ""None"""
"Colaiste Mhuire, Marino, Dublin"," ""2013"""," ""576"""," ""8"""
"C.O.I. College of Education, Rathmines, Dublin"," ""2013"""," ""119"""," ""None"""
"Froebel College, Blackrock, Co. Dublin"," ""2013"""," ""None"""," ""None"""
"St. Angela's College, Lough Gill, Co. Sligo"," ""2013"""," ""471"""," ""616"""
"St. Catherine's College, Sion Hill, Co. Dublin"," ""2013"""," ""None"""," ""None"""
National College of Ireland," ""2013"""," ""1615"""," ""1426"""
"Pontifical College, Maynooth, Co. Kildare"," ""2013"""," ""485"""," ""36"""
"Milltown Institute, Ranelagh, Dublin"," ""2013"""," ""15"""," ""None"""
Aided university sector," ""2013"""," ""90341"""," ""16834"""
Aided technology sector," ""2013"""," ""65039"""," ""15866"""
Teacher education colleges," ""2013"""," ""6454"""," ""1375"""
Other third level education institutions aided by DES," ""2013"""," ""3029"""," ""1703"""
All colleges," ""2014"""," ""169254"""," ""36153"""
Higher Education Authority," ""2014"""," ""None"""," ""None"""
"National University of Ireland, Cork"," ""2014"""," ""15816"""," ""3113"""
"National University of Ireland, Dublin"," ""2014"""," ""21237"""," ""3346"""
"National University of Ireland, Galway"," ""2014"""," ""13818"""," ""2679"""
"Trinity College, Dublin"," ""2014"""," ""13937"""," ""1698"""
"National University of Ireland, Maynooth"," ""2014"""," ""8127"""," ""1611"""
Dublin City University," ""2014"""," ""9209"""," ""1669"""
University of Limerick," ""2014"""," ""10879"""," ""1431"""
"St. Patrick's Teacher Training College, Drumcondra, Dublin"," ""2014"""," ""2065"""," ""409"""
"Mary Immaculate College of Education, Limerick"," ""2014"""," ""2873"""," ""153"""
Institutes of Technology/Other Technology Colleges," ""2014"""," ""None"""," ""None"""
"Mater Dei Institute, Clonliffe Road, Dublin"," ""2014"""," ""404"""," ""177"""
"National College of Art & Design, Dublin"," ""2014"""," ""1035"""," ""189"""
Dublin Institute of Technology," ""2014"""," ""13251"""," ""4658"""
Athlone Institute of Technology," ""2014"""," ""3926"""," ""971"""
"Institute of Technology, Carlow"," ""2014"""," ""3826"""," ""2361"""
Cork Institute of Technology," ""2014"""," ""7490"""," ""2510"""
Dundalk Institute of Technology," ""2014"""," ""4146"""," ""421"""
Galway - Mayo Institute of Technology," ""2014"""," ""5202"""," ""699"""
Letterkenny Institute of Technology," ""2014"""," ""2664"""," ""564"""
Limerick Institute of Technology," ""2014"""," ""4969"""," ""921"""
"Institute of Technology, Sligo"," ""2014"""," ""3823"""," ""138"""
"Institute of Technology, Tallaght"," ""2014"""," ""2980"""," ""1741"""
"Institute of Technology, Tralee"," ""2014"""," ""2537"""," ""278"""
Waterford Institute of Technology," ""2014"""," ""6968"""," ""1232"""
"Dun Laoghaire Institute of Art, Design and Technology"," ""2014"""," ""2082"""," ""161"""
"Institute of Technology, Blanchardstown"," ""2014"""," ""2626"""," ""630"""
Tipperary Institute," ""2014"""," ""None"""," ""None"""
"Tourism College, Killybegs, Co. Donegal"," ""2014"""," ""None"""," ""None"""
Other colleges," ""2014"""," ""None"""," ""None"""
"Colaiste Mhuire, Marino, Dublin"," ""2014"""," ""644"""," ""18"""
"C.O.I. College of Education, Rathmines, Dublin"," ""2014"""," ""119"""," ""None"""
"Froebel College, Blackrock, Co. Dublin"," ""2014"""," ""None"""," ""None"""
"St. Angela's College, Lough Gill, Co. Sligo"," ""2014"""," ""598"""," ""584"""
"St. Catherine's College, Sion Hill, Co. Dublin"," ""2014"""," ""None"""," ""None"""
National College of Ireland," ""2014"""," ""1712"""," ""1664"""
"Pontifical College, Maynooth, Co. Kildare"," ""2014"""," ""276"""," ""127"""
"Milltown Institute, Ranelagh, Dublin"," ""2014"""," ""15"""," ""None"""
Aided university sector," ""2014"""," ""93023"""," ""15547"""
Aided technology sector," ""2014"""," ""66490"""," ""17285"""
Teacher education colleges," ""2014"""," ""6703"""," ""1341"""
Other third level education institutions aided by DES," ""2014"""," ""3038"""," ""1980"""
All colleges," ""2015"""," ""173649"""," ""36975"""
Higher Education Authority," ""2015"""," ""None"""," ""None"""
"National University of Ireland, Cork"," ""2015"""," ""16102"""," ""2946"""
"National University of Ireland, Dublin"," ""2015"""," ""21232"""," ""3579"""
"National University of Ireland, Galway"," ""2015"""," ""13910"""," ""3306"""
"Trinity College, Dublin"," ""2015"""," ""14225"""," ""1768"""
"National University of Ireland, Maynooth"," ""2015"""," ""8896"""," ""1603"""
Dublin City University," ""2015"""," ""9761"""," ""1262"""
University of Limerick," ""2015"""," ""10994"""," ""1191"""
"St. Patrick's Teacher Training College, Drumcondra, Dublin"," ""2015"""," ""2040"""," ""343"""
"Mary Immaculate College of Education, Limerick"," ""2015"""," ""3033"""," ""146"""
Institutes of Technology/Other Technology Colleges," ""2015"""," ""None"""," ""None"""
"Mater Dei Institute, Clonliffe Road, Dublin"," ""2015"""," ""410"""," ""147"""
"National College of Art & Design, Dublin"," ""2015"""," ""1141"""," ""170"""
Dublin Institute of Technology," ""2015"""," ""13828"""," ""4711"""
Athlone Institute of Technology," ""2015"""," ""3960"""," ""1036"""
"Institute of Technology, Carlow"," ""2015"""," ""4136"""," ""2085"""
Cork Institute of Technology," ""2015"""," ""7766"""," ""2557"""
Dundalk Institute of Technology," ""2015"""," ""4389"""," ""397"""
Galway - Mayo Institute of Technology," ""2015"""," ""5338"""," ""864"""
Letterkenny Institute of Technology," ""2015"""," ""2904"""," ""683"""
Limerick Institute of Technology," ""2015"""," ""5024"""," ""1051"""
"Institute of Technology, Sligo"," ""2015"""," ""3822"""," ""151"""
"Institute of Technology, Tallaght"," ""2015"""," ""2884"""," ""2201"""
"Institute of Technology, Tralee"," ""2015"""," ""2830"""," ""172"""
Waterford Institute of Technology," ""2015"""," ""6826"""," ""1154"""
"Dun Laoghaire Institute of Art, Design and Technology"," ""2015"""," ""2034"""," ""183"""
"Institute of Technology, Blanchardstown"," ""2015"""," ""2583"""," ""652"""
Tipperary Institute," ""2015"""," ""None"""," ""None"""
"Tourism College, Killybegs, Co. Donegal"," ""2015"""," ""None"""," ""None"""
Other colleges," ""2015"""," ""None"""," ""None"""
"Colaiste Mhuire, Marino, Dublin"," ""2015"""," ""722"""," ""25"""
"C.O.I. College of Education, Rathmines, Dublin"," ""2015"""," ""124"""," ""70"""
"Froebel College, Blackrock, Co. Dublin"," ""2015"""," ""None"""," ""None"""
"St. Angela's College, Lough Gill, Co. Sligo"," ""2015"""," ""624"""," ""691"""
"St. Catherine's College, Sion Hill, Co. Dublin"," ""2015"""," ""None"""," ""None"""
National College of Ireland," ""2015"""," ""1825"""," ""1706"""
"Pontifical College, Maynooth, Co. Kildare"," ""2015"""," ""271"""," ""125"""
"Milltown Institute, Ranelagh, Dublin"," ""2015"""," ""15"""," ""None"""
Aided university sector," ""2015"""," ""95120"""," ""15655"""
Aided technology sector," ""2015"""," ""68324"""," ""17897"""
Teacher education colleges," ""2015"""," ""6953"""," ""1422"""
Other third level education institutions aided by DES," ""2015"""," ""3252"""," ""2001"""
All colleges," ""2016"""," ""179850"""," ""39632"""
Higher Education Authority," ""2016"""," ""None"""," ""None"""
"National University of Ireland, Cork"," ""2016"""," ""16741"""," ""2780"""
"National University of Ireland, Dublin"," ""2016"""," ""21776"""," ""3878"""
"National University of Ireland, Galway"," ""2016"""," ""14771"""," ""3086"""
"Trinity College, Dublin"," ""2016"""," ""14497"""," ""1801"""
"National University of Ireland, Maynooth"," ""2016"""," ""9485"""," ""1634"""
Dublin City University," ""2016"""," ""11344"""," ""1328"""
University of Limerick," ""2016"""," ""12179"""," ""1067"""
"St. Patrick's Teacher Training College, Drumcondra, Dublin"," ""2016"""," ""1852"""," ""318"""
"Mary Immaculate College of Education, Limerick"," ""2016"""," ""3518"""," ""169"""
Institutes of Technology/Other Technology Colleges," ""2016"""," ""None"""," ""None"""
"Mater Dei Institute, Clonliffe Road, Dublin"," ""2016"""," ""284"""," ""114"""
"National College of Art & Design, Dublin"," ""2016"""," ""1198"""," ""179"""
Dublin Institute of Technology," ""2016"""," ""14234"""," ""5089"""
Athlone Institute of Technology," ""2016"""," ""3758"""," ""1119"""
"Institute of Technology, Carlow"," ""2016"""," ""4256"""," ""2564"""
Cork Institute of Technology," ""2016"""," ""8009"""," ""2510"""
Dundalk Institute of Technology," ""2016"""," ""4387"""," ""612"""
Galway - Mayo Institute of Technology," ""2016"""," ""5476"""," ""951"""
Letterkenny Institute of Technology," ""2016"""," ""2961"""," ""859"""
Limerick Institute of Technology," ""2016"""," ""5192"""," ""907"""
"Institute of Technology, Sligo"," ""2016"""," ""3742"""," ""78"""
"Institute of Technology, Tallaght"," ""2016"""," ""2898"""," ""2122"""
"Institute of Technology, Tralee"," ""2016"""," ""2652"""," ""238"""
Waterford Institute of Technology," ""2016"""," ""6453"""," ""1339"""
"Dun Laoghaire Institute of Art, Design and Technology"," ""2016"""," ""2016"""," ""249"""
"Institute of Technology, Blanchardstown"," ""2016"""," ""2536"""," ""700"""
Tipperary Institute," ""2016"""," ""None"""," ""None"""
"Tourism College, Killybegs, Co. Donegal"," ""2016"""," ""None"""," ""None"""
Other colleges," ""2016"""," ""None"""," ""None"""
"Colaiste Mhuire, Marino, Dublin"," ""2016"""," ""732"""," ""82"""
"C.O.I. College of Education, Rathmines, Dublin"," ""2016"""," ""None"""," ""None"""
"Froebel College, Blackrock, Co. Dublin"," ""2016"""," ""None"""," ""None"""
"St. Angela's College, Lough Gill, Co. Sligo"," ""2016"""," ""643"""," ""635"""
"St. Catherine's College, Sion Hill, Co. Dublin"," ""2016"""," ""None"""," ""None"""
National College of Ireland," ""2016"""," ""1979"""," ""2648"""
"Pontifical College, Maynooth, Co. Kildare"," ""2016"""," ""281"""," ""576"""
"Milltown Institute, Ranelagh, Dublin"," ""2016"""," ""None"""," ""None"""
Aided university sector," ""2016"""," ""100793"""," ""15574"""
Aided technology sector," ""2016"""," ""68570"""," ""19337"""
Teacher education colleges," ""2016"""," ""7029"""," ""1318"""
Other third level education institutions aided by DES," ""2016"""," ""3458"""," ""3403"""
