TextTranslate,Year,Full-time Enrolments to Third Level Courses (Number),Part-time Enrolments to Third Level Courses (Number)
"Mater Dei Institute, Clonliffe Road, Dublin"," ""2016"""," ""284"""," ""114"""
"Milltown Institute, Ranelagh, Dublin"," ""2000"""," ""None"""," ""None"""
"Milltown Institute, Ranelagh, Dublin"," ""2001"""," ""None"""," ""None"""
"Milltown Institute, Ranelagh, Dublin"," ""2002"""," ""None"""," ""None"""
"Milltown Institute, Ranelagh, Dublin"," ""2003"""," ""None"""," ""None"""
"Milltown Institute, Ranelagh, Dublin"," ""2004"""," ""None"""," ""None"""
"Milltown Institute, Ranelagh, Dublin"," ""2005"""," ""None"""," ""None"""
"Milltown Institute, Ranelagh, Dublin"," ""2006"""," ""None"""," ""None"""
"Milltown Institute, Ranelagh, Dublin"," ""2007"""," ""None"""," ""None"""
"Milltown Institute, Ranelagh, Dublin"," ""2008"""," ""None"""," ""None"""
"Milltown Institute, Ranelagh, Dublin"," ""2009"""," ""None"""," ""None"""
"Milltown Institute, Ranelagh, Dublin"," ""2010"""," ""188"""," ""141"""
"Milltown Institute, Ranelagh, Dublin"," ""2011"""," ""84"""," ""120"""
"Milltown Institute, Ranelagh, Dublin"," ""2012"""," ""30"""," ""None"""
"Milltown Institute, Ranelagh, Dublin"," ""2013"""," ""15"""," ""None"""
"Milltown Institute, Ranelagh, Dublin"," ""2014"""," ""15"""," ""None"""
"Milltown Institute, Ranelagh, Dublin"," ""2015"""," ""15"""," ""None"""
"Milltown Institute, Ranelagh, Dublin"," ""2016"""," ""None"""," ""None"""
"National College of Art & Design, Dublin"," ""2000"""," ""733"""," ""8"""
"National College of Art & Design, Dublin"," ""2001"""," ""764"""," ""5"""
"National College of Art & Design, Dublin"," ""2002"""," ""808"""," ""24"""
"National College of Art & Design, Dublin"," ""2003"""," ""824"""," ""44"""
"National College of Art & Design, Dublin"," ""2004"""," ""855"""," ""26"""
"National College of Art & Design, Dublin"," ""2005"""," ""843"""," ""35"""
"National College of Art & Design, Dublin"," ""2006"""," ""849"""," ""14"""
"National College of Art & Design, Dublin"," ""2007"""," ""879"""," ""26"""
"National College of Art & Design, Dublin"," ""2008"""," ""830"""," ""124"""
"National College of Art & Design, Dublin"," ""2009"""," ""865"""," ""179"""
"National College of Art & Design, Dublin"," ""2010"""," ""932"""," ""242"""
"National College of Art & Design, Dublin"," ""2011"""," ""918"""," ""227"""
"National College of Art & Design, Dublin"," ""2012"""," ""940"""," ""222"""
"National College of Art & Design, Dublin"," ""2013"""," ""914"""," ""241"""
"National College of Art & Design, Dublin"," ""2014"""," ""1035"""," ""189"""
"National College of Art & Design, Dublin"," ""2015"""," ""1141"""," ""170"""
"National College of Art & Design, Dublin"," ""2016"""," ""1198"""," ""179"""
National College of Ireland," ""2000"""," ""800"""," ""3612"""
National College of Ireland," ""2001"""," ""795"""," ""3177"""
National College of Ireland," ""2002"""," ""900"""," ""2929"""
National College of Ireland," ""2003"""," ""1072"""," ""2919"""
National College of Ireland," ""2004"""," ""1005"""," ""2721"""
National College of Ireland," ""2005"""," ""1070"""," ""2882"""
National College of Ireland," ""2006"""," ""993"""," ""664"""
National College of Ireland," ""2007"""," ""977"""," ""None"""
National College of Ireland," ""2008"""," ""1065"""," ""2280"""
National College of Ireland," ""2009"""," ""1141"""," ""1745"""
National College of Ireland," ""2010"""," ""1322"""," ""1476"""
National College of Ireland," ""2011"""," ""1459"""," ""1342"""
National College of Ireland," ""2012"""," ""1539"""," ""1250"""
National College of Ireland," ""2013"""," ""1615"""," ""1426"""
National College of Ireland," ""2014"""," ""1712"""," ""1664"""
National College of Ireland," ""2015"""," ""1825"""," ""1706"""
National College of Ireland," ""2016"""," ""1979"""," ""2648"""
"National University of Ireland, Cork"," ""2000"""," ""11122"""," ""772"""
"National University of Ireland, Cork"," ""2001"""," ""11694"""," ""1200"""
"National University of Ireland, Cork"," ""2002"""," ""12001"""," ""1226"""
"National University of Ireland, Cork"," ""2003"""," ""12492"""," ""1273"""
"National University of Ireland, Cork"," ""2004"""," ""12993"""," ""1314"""
"National University of Ireland, Cork"," ""2005"""," ""13611"""," ""1603"""
"National University of Ireland, Cork"," ""2006"""," ""13766"""," ""1393"""
"National University of Ireland, Cork"," ""2007"""," ""14165"""," ""1379"""
"National University of Ireland, Cork"," ""2008"""," ""14559"""," ""1319"""
"National University of Ireland, Cork"," ""2009"""," ""15076"""," ""1326"""
"National University of Ireland, Cork"," ""2010"""," ""15780"""," ""1226"""
"National University of Ireland, Cork"," ""2011"""," ""15979"""," ""1238"""
"National University of Ireland, Cork"," ""2012"""," ""16006"""," ""2082"""
"National University of Ireland, Cork"," ""2013"""," ""15906"""," ""2614"""
"National University of Ireland, Cork"," ""2014"""," ""15816"""," ""3113"""
"National University of Ireland, Cork"," ""2015"""," ""16102"""," ""2946"""
"National University of Ireland, Cork"," ""2016"""," ""16741"""," ""2780"""
"National University of Ireland, Dublin"," ""2000"""," ""15088"""," ""3269"""
"National University of Ireland, Dublin"," ""2001"""," ""14974"""," ""2936"""
"National University of Ireland, Dublin"," ""2002"""," ""15316"""," ""4291"""
"National University of Ireland, Dublin"," ""2003"""," ""15888"""," ""4271"""
"National University of Ireland, Dublin"," ""2004"""," ""16313"""," ""4295"""
"National University of Ireland, Dublin"," ""2005"""," ""16314"""," ""6145"""
"National University of Ireland, Dublin"," ""2006"""," ""16422"""," ""6005"""
"National University of Ireland, Dublin"," ""2007"""," ""16875"""," ""5317"""
"National University of Ireland, Dublin"," ""2008"""," ""17443"""," ""4303"""
"National University of Ireland, Dublin"," ""2009"""," ""18104"""," ""4340"""
"National University of Ireland, Dublin"," ""2010"""," ""19358"""," ""4297"""
"National University of Ireland, Dublin"," ""2011"""," ""19454"""," ""4146"""
"National University of Ireland, Dublin"," ""2012"""," ""19536"""," ""3963"""
"National University of Ireland, Dublin"," ""2013"""," ""20054"""," ""3877"""
"National University of Ireland, Dublin"," ""2014"""," ""21237"""," ""3346"""
"National University of Ireland, Dublin"," ""2015"""," ""21232"""," ""3579"""
"National University of Ireland, Dublin"," ""2016"""," ""21776"""," ""3878"""
"National University of Ireland, Galway"," ""2000"""," ""8655"""," ""1126"""
"National University of Ireland, Galway"," ""2001"""," ""9267"""," ""1183"""
"National University of Ireland, Galway"," ""2002"""," ""10093"""," ""1485"""
"National University of Ireland, Galway"," ""2003"""," ""11020"""," ""1686"""
"National University of Ireland, Galway"," ""2004"""," ""11368"""," ""1620"""
"National University of Ireland, Galway"," ""2005"""," ""11661"""," ""2885"""
"National University of Ireland, Galway"," ""2006"""," ""11739"""," ""2729"""
"National University of Ireland, Galway"," ""2007"""," ""11753"""," ""2754"""
"National University of Ireland, Galway"," ""2008"""," ""11850"""," ""2904"""
"National University of Ireland, Galway"," ""2009"""," ""12549"""," ""2753"""
"National University of Ireland, Galway"," ""2010"""," ""13469"""," ""2618"""
"National University of Ireland, Galway"," ""2011"""," ""13733"""," ""2746"""
"National University of Ireland, Galway"," ""2012"""," ""13873"""," ""2659"""
"National University of Ireland, Galway"," ""2013"""," ""13139"""," ""2788"""
"National University of Ireland, Galway"," ""2014"""," ""13818"""," ""2679"""
"National University of Ireland, Galway"," ""2015"""," ""13910"""," ""3306"""
"National University of Ireland, Galway"," ""2016"""," ""14771"""," ""3086"""
"National University of Ireland, Maynooth"," ""2000"""," ""4028"""," ""614"""
"National University of Ireland, Maynooth"," ""2001"""," ""4200"""," ""552"""
"National University of Ireland, Maynooth"," ""2002"""," ""4510"""," ""606"""
"National University of Ireland, Maynooth"," ""2003"""," ""4707"""," ""574"""
"National University of Ireland, Maynooth"," ""2004"""," ""4956"""," ""436"""
"National University of Ireland, Maynooth"," ""2005"""," ""5109"""," ""694"""
"National University of Ireland, Maynooth"," ""2006"""," ""5324"""," ""785"""
"National University of Ireland, Maynooth"," ""2007"""," ""5343"""," ""825"""
"National University of Ireland, Maynooth"," ""2008"""," ""5608"""," ""922"""
"National University of Ireland, Maynooth"," ""2009"""," ""6100"""," ""1176"""
"National University of Ireland, Maynooth"," ""2010"""," ""6647"""," ""1229"""
"National University of Ireland, Maynooth"," ""2011"""," ""7140"""," ""1182"""
"National University of Ireland, Maynooth"," ""2012"""," ""7412"""," ""2345"""
"National University of Ireland, Maynooth"," ""2013"""," ""7582"""," ""1924"""
"National University of Ireland, Maynooth"," ""2014"""," ""8127"""," ""1611"""
"National University of Ireland, Maynooth"," ""2015"""," ""8896"""," ""1603"""
"National University of Ireland, Maynooth"," ""2016"""," ""9485"""," ""1634"""
Other colleges," ""2000"""," ""2358"""," ""3660"""
Other colleges," ""2001"""," ""2377"""," ""3252"""
Other colleges," ""2002"""," ""2531"""," ""3097"""
Other colleges," ""2003"""," ""2854"""," ""3240"""
Other colleges," ""2004"""," ""2810"""," ""3229"""
Other colleges," ""2005"""," ""2492"""," ""3143"""
Other colleges," ""2006"""," ""2532"""," ""920"""
Other colleges," ""2007"""," ""2516"""," ""None"""
Other colleges," ""2008"""," ""None"""," ""None"""
Other colleges," ""2009"""," ""None"""," ""None"""
Other colleges," ""2010"""," ""None"""," ""None"""
Other colleges," ""2011"""," ""None"""," ""None"""
Other colleges," ""2012"""," ""None"""," ""None"""
Other colleges," ""2013"""," ""None"""," ""None"""
Other colleges," ""2014"""," ""None"""," ""None"""
Other colleges," ""2015"""," ""None"""," ""None"""
Other colleges," ""2016"""," ""None"""," ""None"""
Other third level education institutions aided by DES," ""2000"""," ""None"""," ""None"""
Other third level education institutions aided by DES," ""2001"""," ""None"""," ""None"""
Other third level education institutions aided by DES," ""2002"""," ""None"""," ""None"""
Other third level education institutions aided by DES," ""2003"""," ""None"""," ""None"""
Other third level education institutions aided by DES," ""2004"""," ""None"""," ""None"""
Other third level education institutions aided by DES," ""2005"""," ""None"""," ""None"""
Other third level education institutions aided by DES," ""2006"""," ""None"""," ""None"""
Other third level education institutions aided by DES," ""2007"""," ""None"""," ""None"""
Other third level education institutions aided by DES," ""2008"""," ""2224"""," ""2430"""
Other third level education institutions aided by DES," ""2009"""," ""2333"""," ""1943"""
Other third level education institutions aided by DES," ""2010"""," ""2786"""," ""1879"""
Other third level education institutions aided by DES," ""2011"""," ""2798"""," ""1728"""
Other third level education institutions aided by DES," ""2012"""," ""2838"""," ""1721"""
Other third level education institutions aided by DES," ""2013"""," ""3029"""," ""1703"""
Other third level education institutions aided by DES," ""2014"""," ""3038"""," ""1980"""
Other third level education institutions aided by DES," ""2015"""," ""3252"""," ""2001"""
Other third level education institutions aided by DES," ""2016"""," ""3458"""," ""3403"""
"Pontifical College, Maynooth, Co. Kildare"," ""2000"""," ""375"""," ""25"""
"Pontifical College, Maynooth, Co. Kildare"," ""2001"""," ""354"""," ""19"""
"Pontifical College, Maynooth, Co. Kildare"," ""2002"""," ""356"""," ""37"""
"Pontifical College, Maynooth, Co. Kildare"," ""2003"""," ""344"""," ""37"""
"Pontifical College, Maynooth, Co. Kildare"," ""2004"""," ""333"""," ""22"""
"Pontifical College, Maynooth, Co. Kildare"," ""2005"""," ""332"""," ""18"""
"Pontifical College, Maynooth, Co. Kildare"," ""2006"""," ""347"""," ""19"""
"Pontifical College, Maynooth, Co. Kildare"," ""2007"""," ""349"""," ""None"""
"Pontifical College, Maynooth, Co. Kildare"," ""2008"""," ""329"""," ""26"""
"Pontifical College, Maynooth, Co. Kildare"," ""2009"""," ""327"""," ""19"""
"Pontifical College, Maynooth, Co. Kildare"," ""2010"""," ""344"""," ""20"""
"Pontifical College, Maynooth, Co. Kildare"," ""2011"""," ""337"""," ""39"""
"Pontifical College, Maynooth, Co. Kildare"," ""2012"""," ""329"""," ""249"""
"Pontifical College, Maynooth, Co. Kildare"," ""2013"""," ""485"""," ""36"""
"Pontifical College, Maynooth, Co. Kildare"," ""2014"""," ""276"""," ""127"""
"Pontifical College, Maynooth, Co. Kildare"," ""2015"""," ""271"""," ""125"""
"Pontifical College, Maynooth, Co. Kildare"," ""2016"""," ""281"""," ""576"""
"St. Angela's College, Lough Gill, Co. Sligo"," ""2000"""," ""289"""," ""None"""
"St. Angela's College, Lough Gill, Co. Sligo"," ""2001"""," ""262"""," ""None"""
"St. Angela's College, Lough Gill, Co. Sligo"," ""2002"""," ""279"""," ""None"""
"St. Angela's College, Lough Gill, Co. Sligo"," ""2003"""," ""299"""," ""75"""
"St. Angela's College, Lough Gill, Co. Sligo"," ""2004"""," ""290"""," ""268"""
"St. Angela's College, Lough Gill, Co. Sligo"," ""2005"""," ""337"""," ""243"""
"St. Angela's College, Lough Gill, Co. Sligo"," ""2006"""," ""439"""," ""180"""
"St. Angela's College, Lough Gill, Co. Sligo"," ""2007"""," ""447"""," ""None"""
"St. Angela's College, Lough Gill, Co. Sligo"," ""2008"""," ""524"""," ""229"""
"St. Angela's College, Lough Gill, Co. Sligo"," ""2009"""," ""495"""," ""407"""
"St. Angela's College, Lough Gill, Co. Sligo"," ""2010"""," ""448"""," ""406"""
"St. Angela's College, Lough Gill, Co. Sligo"," ""2011"""," ""436"""," ""428"""
"St. Angela's College, Lough Gill, Co. Sligo"," ""2012"""," ""441"""," ""372"""
"St. Angela's College, Lough Gill, Co. Sligo"," ""2013"""," ""471"""," ""616"""
"St. Angela's College, Lough Gill, Co. Sligo"," ""2014"""," ""598"""," ""584"""
"St. Angela's College, Lough Gill, Co. Sligo"," ""2015"""," ""624"""," ""691"""
"St. Angela's College, Lough Gill, Co. Sligo"," ""2016"""," ""643"""," ""635"""
"St. Catherine's College, Sion Hill, Co. Dublin"," ""2000"""," ""101"""," ""None"""
"St. Catherine's College, Sion Hill, Co. Dublin"," ""2001"""," ""100"""," ""None"""
"St. Catherine's College, Sion Hill, Co. Dublin"," ""2002"""," ""100"""," ""None"""
"St. Catherine's College, Sion Hill, Co. Dublin"," ""2003"""," ""99"""," ""None"""
"St. Catherine's College, Sion Hill, Co. Dublin"," ""2004"""," ""101"""," ""None"""
"St. Catherine's College, Sion Hill, Co. Dublin"," ""2005"""," ""77"""," ""None"""
"St. Catherine's College, Sion Hill, Co. Dublin"," ""2006"""," ""48"""," ""None"""
"St. Catherine's College, Sion Hill, Co. Dublin"," ""2007"""," ""22"""," ""None"""
"St. Catherine's College, Sion Hill, Co. Dublin"," ""2008"""," ""None"""," ""None"""
"St. Catherine's College, Sion Hill, Co. Dublin"," ""2009"""," ""None"""," ""None"""
"St. Catherine's College, Sion Hill, Co. Dublin"," ""2010"""," ""None"""," ""None"""
"St. Catherine's College, Sion Hill, Co. Dublin"," ""2011"""," ""None"""," ""None"""
"St. Catherine's College, Sion Hill, Co. Dublin"," ""2012"""," ""None"""," ""None"""
"St. Catherine's College, Sion Hill, Co. Dublin"," ""2013"""," ""None"""," ""None"""
"St. Catherine's College, Sion Hill, Co. Dublin"," ""2014"""," ""None"""," ""None"""
"St. Catherine's College, Sion Hill, Co. Dublin"," ""2015"""," ""None"""," ""None"""
"St. Catherine's College, Sion Hill, Co. Dublin"," ""2016"""," ""None"""," ""None"""
"St. Patrick's Teacher Training College, Drumcondra, Dublin"," ""2000"""," ""None"""," ""None"""
"St. Patrick's Teacher Training College, Drumcondra, Dublin"," ""2001"""," ""None"""," ""None"""
"St. Patrick's Teacher Training College, Drumcondra, Dublin"," ""2002"""," ""None"""," ""None"""
"St. Patrick's Teacher Training College, Drumcondra, Dublin"," ""2003"""," ""2033"""," ""171"""
"St. Patrick's Teacher Training College, Drumcondra, Dublin"," ""2004"""," ""2012"""," ""185"""
"St. Patrick's Teacher Training College, Drumcondra, Dublin"," ""2005"""," ""1957"""," ""234"""
"St. Patrick's Teacher Training College, Drumcondra, Dublin"," ""2006"""," ""1990"""," ""184"""
"St. Patrick's Teacher Training College, Drumcondra, Dublin"," ""2007"""," ""2029"""," ""269"""
"St. Patrick's Teacher Training College, Drumcondra, Dublin"," ""2008"""," ""2135"""," ""400"""
"St. Patrick's Teacher Training College, Drumcondra, Dublin"," ""2009"""," ""2245"""," ""526"""
"St. Patrick's Teacher Training College, Drumcondra, Dublin"," ""2010"""," ""2064"""," ""606"""
"St. Patrick's Teacher Training College, Drumcondra, Dublin"," ""2011"""," ""1981"""," ""613"""
"St. Patrick's Teacher Training College, Drumcondra, Dublin"," ""2012"""," ""1969"""," ""566"""
"St. Patrick's Teacher Training College, Drumcondra, Dublin"," ""2013"""," ""1970"""," ""431"""
"St. Patrick's Teacher Training College, Drumcondra, Dublin"," ""2014"""," ""2065"""," ""409"""
"St. Patrick's Teacher Training College, Drumcondra, Dublin"," ""2015"""," ""2040"""," ""343"""
"St. Patrick's Teacher Training College, Drumcondra, Dublin"," ""2016"""," ""1852"""," ""318"""
Teacher education colleges," ""2000"""," ""None"""," ""None"""
Teacher education colleges," ""2001"""," ""None"""," ""None"""
Teacher education colleges," ""2002"""," ""None"""," ""None"""
Teacher education colleges," ""2003"""," ""None"""," ""None"""
Teacher education colleges," ""2004"""," ""None"""," ""None"""
Teacher education colleges," ""2005"""," ""None"""," ""None"""
Teacher education colleges," ""2006"""," ""None"""," ""None"""
Teacher education colleges," ""2007"""," ""None"""," ""None"""
Teacher education colleges," ""2008"""," ""6761"""," ""897"""
Teacher education colleges," ""2009"""," ""6973"""," ""1356"""
Teacher education colleges," ""2010"""," ""6732"""," ""1541"""
Teacher education colleges," ""2011"""," ""6691"""," ""1484"""
Teacher education colleges," ""2012"""," ""6428"""," ""1240"""
Teacher education colleges," ""2013"""," ""6454"""," ""1375"""
Teacher education colleges," ""2014"""," ""6703"""," ""1341"""
Teacher education colleges," ""2015"""," ""6953"""," ""1422"""
Teacher education colleges," ""2016"""," ""7029"""," ""1318"""
Tipperary Institute," ""2000"""," ""162"""," ""13"""
Tipperary Institute," ""2001"""," ""184"""," ""222"""
Tipperary Institute," ""2002"""," ""269"""," ""258"""
Tipperary Institute," ""2003"""," ""354"""," ""224"""
Tipperary Institute," ""2004"""," ""386"""," ""87"""
Tipperary Institute," ""2005"""," ""378"""," ""78"""
Tipperary Institute," ""2006"""," ""379"""," ""37"""
Tipperary Institute," ""2007"""," ""338"""," ""None"""
Tipperary Institute," ""2008"""," ""286"""," ""441"""
Tipperary Institute," ""2009"""," ""332"""," ""385"""
Tipperary Institute," ""2010"""," ""481"""," ""229"""
Tipperary Institute," ""2011"""," ""671"""," ""344"""
Tipperary Institute," ""2012"""," ""None"""," ""None"""
Tipperary Institute," ""2013"""," ""None"""," ""None"""
Tipperary Institute," ""2014"""," ""None"""," ""None"""
Tipperary Institute," ""2015"""," ""None"""," ""None"""
Tipperary Institute," ""2016"""," ""None"""," ""None"""
"Tourism College, Killybegs, Co. Donegal"," ""2000"""," ""302"""," ""73"""
"Tourism College, Killybegs, Co. Donegal"," ""2001"""," ""273"""," ""67"""
"Tourism College, Killybegs, Co. Donegal"," ""2002"""," ""236"""," ""59"""
"Tourism College, Killybegs, Co. Donegal"," ""2003"""," ""205"""," ""49"""
"Tourism College, Killybegs, Co. Donegal"," ""2004"""," ""208"""," ""51"""
"Tourism College, Killybegs, Co. Donegal"," ""2005"""," ""192"""," ""52"""
"Tourism College, Killybegs, Co. Donegal"," ""2006"""," ""165"""," ""86"""
"Tourism College, Killybegs, Co. Donegal"," ""2007"""," ""133"""," ""None"""
"Tourism College, Killybegs, Co. Donegal"," ""2008"""," ""None"""," ""None"""
"Tourism College, Killybegs, Co. Donegal"," ""2009"""," ""None"""," ""None"""
"Tourism College, Killybegs, Co. Donegal"," ""2010"""," ""None"""," ""None"""
"Tourism College, Killybegs, Co. Donegal"," ""2011"""," ""None"""," ""None"""
"Tourism College, Killybegs, Co. Donegal"," ""2012"""," ""None"""," ""None"""
"Tourism College, Killybegs, Co. Donegal"," ""2013"""," ""None"""," ""None"""
"Tourism College, Killybegs, Co. Donegal"," ""2014"""," ""None"""," ""None"""
"Tourism College, Killybegs, Co. Donegal"," ""2015"""," ""None"""," ""None"""
"Tourism College, Killybegs, Co. Donegal"," ""2016"""," ""None"""," ""None"""
"Trinity College, Dublin"," ""2000"""," ""10896"""," ""2866"""
"Trinity College, Dublin"," ""2001"""," ""11039"""," ""2758"""
"Trinity College, Dublin"," ""2002"""," ""11212"""," ""2905"""
"Trinity College, Dublin"," ""2003"""," ""11628"""," ""2798"""
"Trinity College, Dublin"," ""2004"""," ""11722"""," ""2587"""
"Trinity College, Dublin"," ""2005"""," ""12679"""," ""2242"""
"Trinity College, Dublin"," ""2006"""," ""12939"""," ""2023"""
"Trinity College, Dublin"," ""2007"""," ""12912"""," ""1789"""
"Trinity College, Dublin"," ""2008"""," ""13037"""," ""1932"""
"Trinity College, Dublin"," ""2009"""," ""13506"""," ""1982"""
"Trinity College, Dublin"," ""2010"""," ""14390"""," ""1783"""
"Trinity College, Dublin"," ""2011"""," ""14562"""," ""1706"""
"Trinity College, Dublin"," ""2012"""," ""14482"""," ""1895"""
"Trinity College, Dublin"," ""2013"""," ""14123"""," ""1735"""
"Trinity College, Dublin"," ""2014"""," ""13937"""," ""1698"""
"Trinity College, Dublin"," ""2015"""," ""14225"""," ""1768"""
"Trinity College, Dublin"," ""2016"""," ""14497"""," ""1801"""
University of Limerick," ""2000"""," ""9394"""," ""1476"""
University of Limerick," ""2001"""," ""9852"""," ""1457"""
University of Limerick," ""2002"""," ""10010"""," ""1830"""
University of Limerick," ""2003"""," ""8142"""," ""1576"""
University of Limerick," ""2004"""," ""8494"""," ""1512"""
University of Limerick," ""2005"""," ""10428"""," ""1052"""
University of Limerick," ""2006"""," ""8457"""," ""1002"""
University of Limerick," ""2007"""," ""8592"""," ""1126"""
University of Limerick," ""2008"""," ""8800"""," ""1324"""
University of Limerick," ""2009"""," ""9345"""," ""1161"""
University of Limerick," ""2010"""," ""9821"""," ""946"""
University of Limerick," ""2011"""," ""10194"""," ""909"""
University of Limerick," ""2012"""," ""10267"""," ""864"""
University of Limerick," ""2013"""," ""10597"""," ""1169"""
University of Limerick," ""2014"""," ""10879"""," ""1431"""
University of Limerick," ""2015"""," ""10994"""," ""1191"""
University of Limerick," ""2016"""," ""12179"""," ""1067"""
Waterford Institute of Technology," ""2000"""," ""5280"""," ""1351"""
Waterford Institute of Technology," ""2001"""," ""5443"""," ""1400"""
Waterford Institute of Technology," ""2002"""," ""5542"""," ""1252"""
Waterford Institute of Technology," ""2003"""," ""5711"""," ""2430"""
Waterford Institute of Technology," ""2004"""," ""6062"""," ""2460"""
Waterford Institute of Technology," ""2005"""," ""5598"""," ""1511"""
Waterford Institute of Technology," ""2006"""," ""5931"""," ""1145"""
Waterford Institute of Technology," ""2007"""," ""6007"""," ""None"""
Waterford Institute of Technology," ""2008"""," ""6110"""," ""1353"""
Waterford Institute of Technology," ""2009"""," ""6270"""," ""1602"""
Waterford Institute of Technology," ""2010"""," ""6376"""," ""1367"""
Waterford Institute of Technology," ""2011"""," ""6580"""," ""1494"""
Waterford Institute of Technology," ""2012"""," ""6620"""," ""1323"""
Waterford Institute of Technology," ""2013"""," ""6837"""," ""1403"""
Waterford Institute of Technology," ""2014"""," ""6968"""," ""1232"""
Waterford Institute of Technology," ""2015"""," ""6826"""," ""1154"""
Waterford Institute of Technology," ""2016"""," ""6453"""," ""1339"""
